playerID,nameFirst,nameLast,birthYear,birthMonth,fullName
adamsri03,Riley,Adams,1996,6,Riley Adams
adamsru01,Russ,Adams,1980,8,Russ Adams
adamsry01,Ryan,Adams,1987,4,Ryan Adams
adamssp01,Sparky,Adams,1894,8,Sparky Adams
adamssp02,Spencer,Adams,1898,6,Spencer Adams
adamste01,Terry,Adams,1973,3,Terry Adams
adamstr01,Travis,Adams,2000,1,Travis Adams
adamswi01,Willie,Adams,1890,9,Willie Adams
adamswi02,Willie,Adams,1972,10,Willie Adams
adcocjo01,Joe,Adcock,1927,10,Joe Adcock
adcocna01,Nathan,Adcock,1988,2,Nathan Adcock
adcocty01,Ty,Adcock,1997,2,Ty Adcock
addisbo01,Bob,Addis,1925,11,Bob Addis
addiske01,Keenan,Addison,,,Keenan Addison
addisto01,Tom,Addison,,,Tom Addison
adducji01,Jim,Adduci,1959,8,Jim Adduci
adducji02,Jim,Adduci,1985,5,Jim Adduci
addybo01,Bob,Addy,1842,2,Bob Addy
adelljo01,Jo,Adell,1999,4,Jo Adell
adenhni01,Nick,Adenhart,1986,8,Nick Adenhart
aderhmo01,Morrie,Aderholt,1915,9,Morrie Aderholt
adkinde01,Dewey,Adkins,1918,5,Dewey Adkins
adkindi01,Dick,Adkins,1920,3,Dick Adkins
adkindo01,Merle,Adkins,1872,8,Merle Adkins
adkingr01,Grady,Adkins,1897,6,Grady Adkins
adkinhe01,Harry,Atkinson,1874,1,Harry Atkinson
adkinjo01,Jon,Adkins,1977,8,Jon Adkins
adkinst01,Steve,Adkins,1964,10,Steve Adkins
adlemti01,Tim,Adleman,1987,11,Tim Adleman
adlesda01,Dave,Adlesh,1943,7,Dave Adlesh
adonjo01,Joan,Adon,1998,8,Joan Adon
adriaeh01,Ehire,Adrianza,1989,8,Ehire Adrianza
afenitr01,Troy,Afenir,1963,9,Troy Afenir
affelje01,Jeremy,Affeldt,1979,6,Jeremy Affeldt
agbaybe01,Benny,Agbayani,1971,12,Benny Agbayani
ageeto01,Tommie,Agee,1942,8,Tommie Agee
agganha01,Harry,Agganis,1929,4,Harry Agganis
aglerjo01,Joe,Agler,1887,6,Joe Agler
