Player,playerID,sklearn_AVG,sklearn_R,sklearn_H,sklearn_HR,sklearn_RBI,sklearn_2B,sklearn_SB,sklearn_BB,sklearn_OBP,sklearn_SLG
Oswald Peraza,perazos02,0.214,33,60,8,32,12,11,19,0.268,0.325
Edmundo Sosa,sosaed01,0.258,30,56,8,33,11,3,9,0.293,0.408
Parker Meadows,meadopa01,0.245,43,82,8,32,19,8,29,0.31,0.418
Harrison Bader,baderha01,0.228,46,70,8,32,13,9,22,0.282,0.326
Ramon Urias,uriasra01,0.226,26,54,8,27,10,2,20,0.288,0.336
Riley Adams,adamsri03,0.182,25,46,8,27,6,1,14,0.263,0.329
Andrew McCutchen,mccutan01,0.225,34,70,8,29,11,3,53,0.325,0.355
Michael Taylor,taylomi02,0.175,22,33,8,18,3,8,12,0.219,0.351
Jeff McNeil,mcneije01,0.262,39,77,8,35,15,4,31,0.325,0.375
J. P. Crawford,crawfjp01,0.242,62,131,8,45,24,5,70,0.344,0.295
Michael Massey,massemi02,0.241,33,79,8,32,14,3,11,0.266,0.366
Jake Cronenworth,croneja01,0.228,51,87,8,43,18,3,59,0.334,0.341
Pedro Pagés,pagespe01,0.222,25,68,8,28,11,0,12,0.257,0.376
Kyle Higashioka,higasky01,0.218,21,49,8,36,9,2,12,0.255,0.39
Henry Davis,davishe01,0.177,30,62,8,29,10,2,22,0.249,0.294
Tommy Edman,edmanto01,0.238,55,73,8,34,15,19,21,0.282,0.364
Elias Diaz,diazel01,0.195,20,49,8,24,8,0,12,0.249,0.365
Enrique Hernandez,hernaen02,0.197,24,44,8,24,8,0,16,0.254,0.377
Liam Hicks,hicksli01,0.247,42,90,8,40,18,2,42,0.356,0.362
Jared Triolo,triolja01,0.24,43,75,7,32,13,11,37,0.317,0.333
Andres Gimenez,gimenan01,0.244,49,84,7,35,17,21,17,0.298,0.346
Trey Sweeney,sweentr01,0.191,31,62,7,30,10,3,29,0.273,0.299
Zach McKinstry,mckinza01,0.209,48,71,7,28,15,14,37,0.297,0.327
Orlando Arcia,arciaor01,0.249,20,50,7,28,5,1,17,0.259,0.323
Brayan Rocchio,rocchbr01,0.271,52,108,7,44,21,11,34,0.336,0.366
Luis Torrens,torrelu01,0.235,26,53,7,25,12,0,17,0.289,0.401
Sal Frelick,frelisa01,0.273,65,156,7,47,25,16,42,0.359,0.338
Jake Bauers,bauerja01,0.216,32,43,7,25,7,10,32,0.313,0.327
Keibert Ruiz,ruizke01,0.26,36,90,7,43,15,2,15,0.277,0.378
Edouard Julien,julieed01,0.224,34,60,7,32,7,4,43,0.341,0.335
Jose Herrera,herrejo04,0.23,22,52,7,22,7,0,36,0.351,0.341
Joey Bart,bartjo01,0.221,25,45,6,27,7,0,27,0.314,0.348
Drew Waters,waterdr01,0.256,39,78,6,27,14,14,17,0.318,0.384
Alex Verdugo,verdual01,0.26,48,93,6,26,20,2,36,0.317,0.327
Nick Gonzales,gonzani01,0.269,35,94,6,32,15,2,17,0.289,0.359
Romy Gonzalez,gonzaro01,0.277,44,79,6,43,15,9,16,0.307,0.423
Luis Rengifo,rengilu01,0.25,40,89,6,30,13,9,23,0.291,0.367
Thomas Saggese,saggeth01,0.265,42,94,6,38,18,6,19,0.302,0.368
Ryan Ritter,rittery01,0.271,44,101,6,27,14,6,20,0.339,0.408
Dylan Moore,mooredy01,0.179,38,42,6,21,4,23,25,0.29,0.338
Patrick Bailey,bailepa01,0.241,37,89,6,42,16,3,29,0.292,0.368
Josh Rojas,rojasjo01,0.234,32,56,6,22,8,9,37,0.283,0.285
Abraham Toro,toroab01,0.25,30,58,5,28,13,3,13,0.283,0.345
Eli White,whiteel04,0.231,29,43,5,26,9,8,11,0.279,0.357
Gavin Lux,luxga01,0.264,44,93,5,35,17,3,46,0.342,0.347
Tyrone Taylor,tayloty01,0.225,30,59,5,21,11,10,11,0.261,0.329
Mike Tauchman,tauchmi01,0.221,28,55,5,22,9,2,39,0.347,0.337
Jake Fraley,fraleja01,0.23,41,67,5,25,12,11,35,0.334,0.344
