Player,playerID,sklearn_ERA,sklearn_W,sklearn_L,sklearn_SO,sklearn_WHIP,sklearn_IP,sklearn_SV,sklearn_HR,sklearn_BB
Jesus Luzardo,luzarje01,3.76,14,10,195,1.14,172,0,19,58
Jose Butto,buttojo01,3.76,3,2,56,1.4,56,4,4,25
Kevin Gausman,gausmke01,3.76,14,11,167,1.21,184,0,22,51
Will Vest,vestwi01,3.79,2,4,48,1.2,54,16,4,18
Lake Bachar,bachala01,3.79,3,3,54,1.22,53,1,7,24
Emmet Sheehan,sheehem01,3.81,7,6,140,1.04,118,2,18,45
Huascar Brazoban,brazohu01,3.83,2,1,47,1.35,48,2,5,24
Luke Jackson,jackslu01,3.83,3,2,42,1.22,45,6,5,23
Gregory Soto,sotogr01,3.85,2,2,51,1.28,47,6,4,21
Yariel Rodríguez,rodriya01,3.85,2,3,54,1.49,56,1,6,28
Nick Pivetta,pivetni01,3.87,13,7,155,1.11,141,0,21,50
Brent Suter,suterbr01,3.88,1,1,43,1.22,55,0,9,15
George Kirby,kirbyge01,3.88,12,10,172,1.05,166,0,23,32
Hogan Harris,harriho02,3.89,3,2,59,1.34,53,2,5,24
Rafael Montero,montera01,3.9,3,2,49,1.39,44,3,3,26
MacKenzie Gore,gorema01,3.9,10,7,161,1.22,130,0,16,61
Yoendrys Gómez,gomezyo01,3.92,4,5,80,1.34,91,0,12,34
Mason Fluharty,fluhama01,3.93,2,3,70,1.38,54,2,5,25
Ryan Zeferjahn,zeferry01,3.93,3,3,76,1.27,57,3,6,27
Hayden Birdsong,birdsha01,3.93,5,5,108,1.29,98,0,12,42
Mike Burrows,burromi01,3.95,6,6,111,1.2,112,0,16,37
Luis Ortiz,ortizlu03,3.96,7,9,129,1.32,121,0,16,50
Brad Lord,lordbr02,3.97,5,8,102,1.32,101,0,14,49
Angel Chivilli,chivian01,3.98,4,4,66,1.23,67,3,9,19
Graham Ashcraft,ashcrgr01,4.02,2,3,58,1.3,65,5,6,22
José Soriano,soriajo02,4.03,8,8,132,1.51,117,0,12,52
Tylor Megill,megilty01,4.05,7,7,137,1.25,120,0,16,46
Cole Sands,sandsco01,4.05,2,3,59,1.18,54,3,6,16
Drew Rasmussen,rasmudr01,4.06,11,8,124,1.12,150,0,19,40
Ryan Pepiot,pepiory01,4.06,10,10,170,1.31,157,0,25,54
Carlos Rodon,rodonca01,4.07,11,8,173,1.25,158,0,23,53
Eric Lauer,lauerer01,4.09,6,6,91,1.18,104,0,14,40
Shane Smith,smithsh02,4.09,10,9,138,1.34,135,0,18,50
Daniel Lynch,lynchda02,4.09,1,2,43,1.42,54,0,8,22
Mike Vasil,vasilmi01,4.1,3,3,69,1.46,89,4,9,40
Freddy Peralta,peralfr01,4.1,10,8,180,1.12,146,0,19,60
Nathan Eovaldi,eovalna01,4.11,11,7,137,1.25,151,0,23,36
Framber Valdez,valdefr01,4.12,14,8,161,1.44,151,0,18,56
Jalen Beeks,beeksja01,4.12,3,1,43,1.27,49,3,4,19
Reese Olson,olsonre01,4.16,8,9,156,1.27,148,0,17,50
Joe Boyle,boylejo01,4.16,8,5,124,1.37,126,0,15,54
Will Warren,warrewi01,4.16,12,10,163,1.39,156,0,18,70
Jeffrey Springs,sprinje01,4.17,9,8,127,1.24,158,0,24,37
Ranger Suarez,suarera01,4.21,12,9,153,1.15,160,0,19,50
Tyler Phillips,phillty01,4.22,2,3,44,1.39,66,1,5,19
Dylan Cease,ceasedy01,4.22,12,9,201,1.28,162,0,23,75
J. T. Ginn,ginnjt01,4.25,7,5,118,1.26,110,0,16,32
Casey Mize,mizeca01,4.25,10,8,119,1.19,138,0,20,41
Tobias Myers,myersto01,4.26,8,6,78,1.3,99,0,12,32
Spencer Strider,stridsp01,4.28,12,10,169,1.24,140,0,22,58
Edward Cabrera,cabreed02,4.3,10,9,159,1.24,148,0,18,53
Ben Casparius,caspabe01,4.3,3,4,63,1.26,74,2,8,18
Jake Latz,latzja01,4.31,5,4,72,1.45,92,1,10,37
Yusei Kikuchi,kikucyu01,4.31,12,11,149,1.32,156,0,25,53
Mike King,kingmi01,4.32,10,9,198,1.24,158,0,19,50
Tyler Glasnow,glasnty01,4.33,10,6,161,1.1,125,0,15,45
Ryan Yarbrough,yarbrry01,4.35,7,6,91,1.31,100,0,13,30
Cade Povich,povicca01,4.37,7,5,116,1.21,115,0,15,39
Jack Flaherty,flaheja01,4.37,10,8,162,1.2,140,0,25,54
Carmen Mlodzinski,mlodzca01,4.37,6,9,86,1.3,104,0,12,30
Kris Bubic,bubickr01,4.38,11,9,147,1.37,153,0,15,58
Aaron Nola,nolaaa01,4.42,10,10,123,1.25,138,0,21,41
Shane Baz,bazsh01,4.43,12,11,188,1.33,166,0,19,73
Steven Matz,matzst01,4.44,4,2,66,1.23,73,0,10,21
Andrew Abbott,abbotan01,4.51,10,9,138,1.34,154,0,20,52
Osvaldo Bido,bidoos01,4.52,5,5,74,1.18,98,0,12,28
Luis Castillo,castilu02,4.52,14,12,173,1.25,179,0,25,52
Tyler Kinley,kinlety01,4.53,2,3,54,1.43,51,8,6,24
Brady Singer,singebr01,4.53,10,10,147,1.3,156,0,20,59
